episode,step,uncertainty,threshold,robot_x,robot_y,raw_waypoint_x,raw_waypoint_y,post_waypoint_x,post_waypoint_y,postprocess_reason,llm_reasoning
0,134,0.02709962844848633,0.0247,1.9179272651672363,0.022594213485717773,1.6,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is right at the obstacle’s front-left area with no lateral clearance, so it should first move to the lower side with at least 0.6 m clearance rather than aiming past the obstacle."
0,307,0.02603961944580078,0.0247,1.858016014099121,-0.5890326499938965,1.8,-1.2,1.608016014099121,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther down on the same lower side to create a safe detour before going past the obstacle."
0,327,0.034955282211303715,0.0247,1.839573860168457,-0.8049492835998535,1.8,-1.2,1.589573860168457,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with insufficient lower-side clearance, so the clearest safe first move is to continue on the lower side to a waypoint beside the obstacle that creates at least 0.6 m lateral clearance before going past it."
1,127,0.025147457122802735,0.0247,1.9203405380249023,0.029786229133605957,1.7,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is immediately in front of the obstacle near its centerline, so it should first move to the lower side with at least 0.6 m lateral clearance rather than aiming past the front face."
1,297,0.026961584091186524,0.0247,1.870124340057373,-0.5902533531188965,1.8,-1.2,1.620124340057373,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther downward on the same lower side rather than aiming past the obstacle front."
1,317,0.02569748878479004,0.0247,1.8488640785217285,-0.7366445064544678,3.4,-0.9,1.5988640785217285,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below-left of the obstacle and already has lower-side clearance, so the safest detour is to stay below it and head to a waypoint just past the obstacle’s right side."
2,134,0.027079601287841797,0.0247,1.9175710678100586,0.01846134662628174,1.6,-1.2,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is directly in front of the obstacle’s left face at nearly the same height, so it should first move to the lower side with more than 0.6 m lateral clearance before trying to pass around."
2,307,0.025344390869140625,0.0247,1.8576736450195312,-0.584125816822052,1.8,-1.2,1.6076736450195312,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move further downward on the same lower side rather than aiming past the obstacle front."
2,327,0.033925552368164066,0.0247,1.8438019752502441,-0.7662718296051025,1.8,-1.2,1.5938019752502441,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther downward on the same lower side rather than aiming past the obstacle front."
3,134,0.026193161010742188,0.0247,1.9174251556396484,0.02183055877685547,1.7,1.1,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is immediately in front of the obstacle’s left face at mid-height, so it should first move to a side waypoint with at least 0.6 m lateral clearance rather than aiming past the obstacle."
3,272,0.034047384262084965,0.0247,1.8638849258422852,0.5830321311950684,1.8,1.2,1.6138849258422852,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above-left of the obstacle and close to its front, so it should keep to the upper side and first move to a waypoint beside the obstacle with ample lateral clearance rather than aiming beyond the front face."
3,292,0.025536317825317383,0.0247,1.8703746795654297,0.7724995613098145,1.9,1.2,1.6203746795654297,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and slightly left of the obstacle with only about 0.27 m clearance from the top edge, so it should first move farther upward on the same upper side to gain safe lateral clearance before going past the obstacle."
4,134,0.02561833381652832,0.0247,1.9166522026062012,0.026900768280029297,1.7,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is directly in front of the obstacle with no lateral clearance, so it should first move to the side before going past, and the lower side provides a clear detour with sufficient clearance."
4,300,0.025277395248413086,0.0247,1.8645882606506348,-0.5822772979736328,1.8,-1.2,1.6145882606506348,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther downward on the same lower side to create a safe detour before going past the obstacle."
4,320,0.029885072708129883,0.0247,1.848649024963379,-0.7901163101196289,2.0,-1.2,1.598649024963379,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with insufficient lower-side clearance yet, so the safest first detour is a waypoint further below the obstacle on the same lower side rather than beyond its front face."
5,134,0.025584716796875,0.0247,1.9188413619995117,0.02862715721130371,1.8,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is right at the obstacle’s front-left side with no lateral clearance, so it should first move to the lower side with at least 0.6 m clearance rather than aiming past the obstacle."
5,310,0.026018400192260743,0.0247,1.8548970222473145,-0.6163641214370728,1.8,-1.2,1.6048970222473145,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and to the left of the obstacle with insufficient clearance, so the clearest safe first detour is to stay on the lower side and move to a waypoint below-left of the obstacle before going past it."
5,331,0.0250046443939209,0.0247,1.851102352142334,-0.7431750297546387,1.6,-1.2,1.601102352142334,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther down and slightly back on the same lower side before going around."
6,133,0.02479269027709961,0.0247,1.9183402061462402,0.027527332305908203,1.6,-1.2,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just in front of the obstacle’s left face at y≈0 with no lateral clearance, so it should first move to the lower side with more than 0.6 m clearance rather than aiming past the obstacle."
6,302,0.02495457649230957,0.0247,1.861743450164795,-0.5845432877540588,1.8,-1.2,1.611743450164795,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther down on the same lower side rather than aiming past the obstacle front."
6,322,0.030921716690063477,0.0247,1.8465018272399902,-0.7443093657493591,1.8,-1.2,1.5965018272399902,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below-left of the obstacle and still close to its front, so the safest first detour is to stay on the lower side and move farther below the obstacle with clear lateral clearance before going past it."
7,134,0.025203485488891602,0.0247,1.919234275817871,0.03173375129699707,1.7,0.7,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is directly at the obstacle’s front on the centerline, so it should first move to a nearby side waypoint with at least 0.6 m lateral clearance rather than trying to go past the obstacle."
7,274,0.031226654052734375,0.0247,1.8573036193847656,0.5776796340942383,1.6,1.1,1.6073036193847656,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and close to the obstacle’s front-left area, so it should keep detouring on the upper side first with enough lateral clearance rather than aiming beyond the obstacle."
8,133,0.024915237426757813,0.0247,1.9178916215896606,0.027419090270996094,1.6,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is immediately in front of the obstacle near its centerline, so it should first move to the lower side with at least 0.6 m lateral clearance before attempting to go past."
8,295,0.024804134368896485,0.0247,1.8583897352218628,-0.5832924842834473,1.8,-1.2,1.6083897352218628,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just left and below the obstacle with insufficient lower-side clearance, so it should first move farther below the obstacle front rather than aiming past it."
8,315,0.03681733131408692,0.0247,1.8524423837661743,-0.8038744926452637,1.6,-1.2,1.6024423837661743,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with less than 0.6 m clearance from the lower face, so it should first move farther down on the same lower side rather than aiming past the obstacle."
